id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,price
6496,"19 Jagoe Drive, Kelso",4,2,2,980m²,"$840,000"
6497,"26 Canterbury Drive, Morpeth",4,2,2,834.6m²,"$835,000"
6498,"10 Ayr Street, Maclean",3,2,2,992m²,"$757,000"
6499,"15 Highview Crescent, Modanville",4,1,2,"1,000m²","$747,750"
6500,"11 Easton Close, Rutherford",4,2,2,837m²,"$740,000"
6501,"7 Patterson Close, Moruya",3,1,2,930m²,"$731,000"
6502,"40 Bevington Bend, Lavington",4,2,2,921m²,"$720,000"
6503,"8 Yeoman Avenue, Metford",3,1,2,808m²,"$710,000"
6504,"5 Kalinda Place, Hillvue",3,2,2,851m²,"$700,000"
6505,"19 Monett Place, Orange",4,1,2,818m²,"$699,000"
6506,"22 Taylor Avenue, Goonellabah",4,1,1,961m²,"$660,000"
6507,"23 Missouri Avenue, Tolland",4,2,4,945m²,"$660,000"
6508,"121 Cessnock Road, Neath",3,1,1,940m²,"$600,000"
6509,"3 Rutherford Place, West Bathurst",3,1,1,974m²,"$595,000"
6510,"56 View Street, Gunnedah",3,1,2,965m²,"$435,500"
6511,"67 Burlington Road, Homebush",3,1,4,929m²,"$3,505,000"
6512,"8 Gledswood Place, Glen Alpine",6,3,2,991m²,"$1,505,000"
6513,"9 Devaney Avenue, Glenmore Park",4,3,2,818m²,"$1,450,000"
6514,"12 & 12a Fulton Place, North Richmond",5,2,2,902m²,"$1,280,000"
6515,"16 Buchanan Street, Ballina",5,2,4,973.8m²,"$1,156,000"
6516,"6 Blue Gum Place, Tahmoor",4,2,2,836m²,"$1,100,000"
6517,"645 George St, South Windsor",4,1,2,866m²,"$955,000"
6518,"18 Abermain Street, Pelaw Main",3,2,4,809.04m²,"$715,000"
6519,"5 McCoullough Drive, Tolland",4,2,2,962.98m²,"$690,000"
6520,"1054 Bunton Street, North Albury",4,2,4,815.7m²,"$650,000"
6521,"10 White Street, Gunnedah",3,1,2,911m²,"$515,000"
6522,"36 Rous Road, Goonellabah",3,1,2,966m²,"$470,000"
6523,"144 Miles Street, Tenterfield",3,2,2,981m²,"$465,000"
6524,"21 Brighton Avenue, Brighton-Le-Sands",4,2,4,832m²,"$3,522,250"
6525,"36 Maher Close, Beecroft",6,3,3,892m²,"$2,210,000"
6526,"5 Fairgreen Place, Castle Hill",5,2,4,803m²,"$2,110,000"
6527,"24 Mahony Road, Riverstone",4,2,2,854m²,"$1,800,000"
6528,"33 Deep Pool Way, Mount Annan",5,3,2,818m²,"$1,466,000"
6529,"67 Hopewood Crescent, Fairy Meadow",3,1,2,851m²,"$1,200,000"
6530,"26 Woy Woy Bay Road, Woy Woy Bay",3,2,2,946m²,"$1,100,000"
6531,"13 Mccall Avenue, Camden South",3,1,2,904m²,"$1,020,000"
6532,"39 Fairview Street, Gunnedah",4,1,5,809m²,"$535,000"
6533,"20 Walsh Avenue, Castle Hill",4,2,2,807m²,"$2,508,000"
6534,"4 Connors View, Berry",6,3,2,857m²,"$1,900,000"
6535,"1 Glenora Road, Yarrawarrah",5,3,4,875.6m²,"$1,795,000"
6536,"10 Parmal Avenue, Padstow",4,1,1,853m²,"$1,595,000"
6537,"16 Emu Plains Road, Mount Riverview",5,2,2,809.4m²,"$1,300,000"
6538,"30 Craigend Street, Leura",3,1,2,828.3m²,"$1,220,000"
6539,"27 Werowi Street, Dapto",4,2,5,960m²,"$1,100,000"
6540,"42 Murray Street, East Maitland",3,2,6,846m²,"$1,060,000"
6541,"47 Acacia Avenue, Gwynneville",3,1,2,878m²,"$1,040,000"
6542,"25 Conrad Close, Iluka",4,2,2,934m²,"$930,000"
6543,"21 Panonia Road, Wyong",3,2,1,807.5m²,"$860,000"
6544,"9 Allambie Way, Mount Austin",4,3,2,901.7m²,"$780,000"
6545,"20 Ridgelands Dr, Sanctuary Point",4,3,2,809m²,"$762,500"
6546,"40 Pippin Way, Orange",4,2,2,857m²,"$725,000"
6547,"24 Bottle Brush Avenue, Medowie",3,1,2,879m²,"$715,000"
6548,"60 Cunningham Street, Dubbo",4,2,2,896m²,"$665,000"
6549,"1 Campese Court, Dubbo",4,2,2,804m²,"$651,000"
6550,"22 Short Street, Armidale",3,1,2,833.5m²,"$610,000"
6551,"80 Coromandel Street, Goulburn",2,2,1,973.8m²,"$580,000"
6552,"14 Clark Street, Weston",3,1,2,923.2m²,"$520,000"
6553,"124 Lucan Street, Mulwala",3,1,3,951m²,"$465,000"
6554,"52 Bancroft Avenue, Roseville",5,3,3,813.5m²,"$4,510,000"
6555,"4 Gemeren Grove, West Pennant Hills",6,3,3,"1,000m²","$4,075,000"
6556,"141 Rosa Street, Oatley",5,3,2,984m²,"$3,525,000"
6557,"20 Mosman Chase, Lennox Head",5,3,2,818m²,"$2,100,000"
6558,"59 Harris St, Harris Park",4,1,4,834m²,"$2,090,000"
6559,"16 Kilmory Place, Mount Kuring-Gai",5,2,2,957m²,"$1,530,000"
6560,"2 Tuckeroo Drive, East Ballina",5,2,2,841.1m²,"$1,425,000"
6561,"5 Admiralty Drive, Safety Beach",5,3,2,810m²,"$1,175,000"
6562,"62 Macarthur Road, Elderslie",2,1,1,999.1m²,"$1,150,000"
6563,"42 Dulhunty Court, Cranebrook",4,2,,966m²,"$1,140,000"
6564,"32 Cattle Brook Road, Port Macquarie",3,2,2,818m²,"$980,000"
6565,"9 Lutea Place, Forster",4,2,2,820m²,"$970,000"
6566,"8 Walford Street, Wallsend",4,1,5,847.3m²,"$960,000"
6567,"Address available on request, Abercrombie",4,2,2,997m²,"$845,000"
6568,"16 Morris Place, Marulan",4,2,2,995.7m²,"$840,000"
6569,"32 Missouri Avenue, Tolland",4,2,2,939m²,"$740,000"
6570,"68 Lang Street, Kurri Kurri",3,1,3,993m²,"$672,000"
6571,"116 Mima Street, Glenfield Park",3,2,2,874m²,"$606,000"
6572,"292 Summerland Way, Kyogle",4,1,2,823m²,"$550,000"
6573,"3 Prince Avenue, Uralla",3,1,2,878m²,"$530,000"
6574,"78 Brial Street, Boorowa",3,1,,954.8m²,"$360,000"
6575,"131 The Boulevarde, Strathfield",6,8,6,"1,000m²","$10,100,000"
6576,"3 Stonehaven Road, Mount Colah",4,2,2,923m²,"$1,881,000"
6577,"149 Princes Street, Putney",3,1,4,992.7m²,"$4,865,000"
6578,"9 Kapunda Place, Belrose",5,4,2,822m²,"$3,160,000"
6579,"54 Morrison Road, Gladesville",4,2,2,980.1m²,"$3,135,000"
6580,"21 Taylor Street, Woy Woy Bay",5,4,5,983m²,"$3,075,000"
6581,"11 Willandra Street, Ryde",4,2,3,980.1m²,"$2,824,000"
6582,"2 Lowanna Avenue, Baulkham Hills",3,1,2,929.5m²,"$2,112,000"
6583,"18 Llewellyn Street, Oatley",4,1,,822m²,"$2,065,000"
6584,"51 Kamilaroy Road, West Pymble",4,1,1,898m²,"$2,050,000"
6585,"54 Hemphill Avenue, Mount Pritchard",5,3,2,800m²,"$1,650,000"
6586,"33 Brushwood Place, Hornsby",4,2,2,810m²,"$1,638,000"
6587,"24 Warruga Crescent, Berowra Heights",4,1,,817m²,"$1,485,000"
6588,"131 Seville Street, Fairfield East",4,2,1,929.03m²,"$1,395,000"
6589,"56 Thompson Avenue, St Marys",3,1,2,961.1m²,"$1,232,000"
6590,"7 Newell Place, Kelso",3,1,1,938.8m²,"$679,000"
6591,"8 Dylan Place, West Pennant Hills",5,3,3,823.7m²,"$3,980,000"
6592,"11 Clegg Place, Glenhaven",5,3,2,956m²,"$2,300,000"
6593,"17 Finlay Avenue, Beecroft",4,1,2,937m²,"$2,200,000"
6594,"24 Hillmont Avenue, Thornleigh",3,1,1,897.9m²,"$1,680,000"
6595,"1 Cherry Street, Sapphire Beach",6,3,3,926m²,"$1,650,000"
6596,"16 Bunderra Place, Kariong",4,2,4,830m²,"$1,290,000"
6597,"3 Wickham Place, Clunes",4,2,2,974.7m²,"$1,250,000"
6598,"35 Mount Sugarloaf Drive, Glen Alpine",4,2,3,801m²,"$1,190,000"
6599,"15 Sales Avenue, Silverdale",4,3,4,975m²,"$1,160,000"
6600,"23 Glossop Road, Linden",5,3,2,811m²,"$1,120,000"
6601,"13 Dr King Close, Moruya",4,3,2,975m²,"$1,025,000"
6602,"154 Waples Road, Farmborough Heights",3,1,2,962m²,"$945,000"
6603,"1 Irene St, Sanctuary Point",2,1,1,809m²,"$850,000"
6604,"10 Bocquet Street, Lake Albert",4,2,2,897m²,"$835,000"
6605,"6 Snapper Place, Tuross Head",4,2,1,817m²,"$750,000"
6606,"73 Frost Street, Orange",3,1,2,872m²,"$681,750"
6607,"14 Tareena Avenue, Kelso",4,3,2,818.8m²,"$680,000"
6608,"7 Betts Place, Orange",3,1,1,863m²,"$615,000"
6609,"7 Evans Crescent, Blayney",3,1,3,896m²,"$539,000"
6610,"75 Taylor Street, Armidale",3,1,2,852m²,"$475,000"
6611,"14 Langham Street, Ganmain",2,1,8,841m²,"$320,000"
6612,"8 Banool Avenue, St Ives",5,4,2,909m²,"$7,200,000"
6613,"12 Old Hume Highway, Camden",5,3,3,822m²,"$1,500,000"
6614,"528 & 528a Guildford Road, Guildford",5,2,2,862.6m²,"$1,350,000"
6615,"2 Pinyary Close, Kincumber",3,2,2,963m²,"$1,250,000"
6616,"9 Bogong Crescent, Tatton",5,2,3,800m²,"$935,000"
6617,"114 Dry Dock Road, Tweed Heads South",3,1,1,926m²,"$925,000"
6618,"3 Cox Place, Sunshine Bay",4,2,2,814m²,"$915,000"
6619,"12 Kelat Avenue, Wadalba",4,2,2,802m²,"$860,000"
6620,"13 High Street, East Maitland",4,1,2,986.4m²,"$850,000"
6621,"10 Ebony Close, Tamworth",7,3,2,857m²,"$832,500"
6622,"4 Bertha Street, Hill Top",4,1,1,901m²,"$820,000"
6623,"18 Darwin Drive, Llanarth",4,3,2,897m²,"$780,000"
6624,"12 Blue Gum Parade, Maloneys Beach",3,2,3,803m²,"$748,500"
6625,"7 James Street, Cessnock",3,2,1,809m²,"$650,088"
6626,"17 Norman Road, Mudgee",4,1,2,944m²,"$640,000"
6627,"1 Baker Close, Calala",5,1,4,891m²,"$539,000"
6628,"51 Lady Penrhyn Drive, Beacon Hill",5,3,5,920m²,"$3,560,000"
6629,"99 Stoddart Street, Roselands",5,2,2,916.9m²,"$2,350,000"
6630,"5 Black Wattle Grove, Narellan Vale",4,2,5,984.8m²,"$1,405,000"
6631,"1 Linton Road, Currans Hill",4,2,2,831m²,"$1,325,000"
6632,"68 Macquarie Road, Wilberforce",5,2,2,"1,000m²","$1,285,000"
6633,"3 Eleonora Close, Whitebridge",4,2,2,882m²,"$1,270,000"
6634,"12 Timbertop Avenue, Forster",5,4,2,933m²,"$1,215,000"
6635,"94 Ryans Road, Umina Beach",3,2,,834.7m²,"$970,000"
6636,"15 Twynam Avenue, Windradyne",4,2,2,916m²,"$942,000"
6637,"20 Canning Crescent, Sunshine Bay",4,2,2,911m²,"$870,000"
6638,"40 Erith Street, Bundanoon",3,1,1,890m²,"$800,000"
6639,"149 Queen Street, Muswellbrook",4,2,4,851m²,"$745,000"
6640,"46 Prince Street, Perthville",4,2,2,932m²,"$740,000"
6641,"3 Kurrajong Road, Gunnedah",4,2,2,806m²,"$700,000"
6642,"9 Erica Close, Dubbo",4,2,2,895m²,"$666,000"
6643,"106 St Andrews St, Aberdeen",4,2,2,949m²,"$650,000"
6644,"17 Ferguson Street, Cessnock",2,2,2,867m²,"$620,000"
6645,"24 Palmer Crescent, Gunnedah",3,1,1,969m²,"$491,000"
6646,"2/4 Northview Circuit, Muswellbrook",3,2,1,891m²,"$485,000"
6647,"29 Cope Street, Casino",3,1,1,934m²,"$400,000"
6648,"14 Nabiac Avenue, Gymea Bay",4,1,4,847.3m²,"$2,200,000"
6649,"1 Rhodes Place, Kellyville",5,2,3,869m²,"$1,980,000"
6650,"23 Seymour Road, The Oaks",5,2,2,975.1m²,"$1,450,000"
6651,"35 Kimbarra Close, Kotara",3,1,1,822m²,"$935,000"
6652,"241 Lawrence Drive, Kelso",4,2,4,862m²,"$918,750"
6653,"5 Tilligerry Track, Tanilba Bay",3,2,5,961m²,"$900,000"
6654,"9 Swanbrooke Street, Windradyne",3,1,2,809m²,"$660,000"
6655,"344 Sutherland Street, Lavington",3,1,2,847m²,"$558,000"
6656,"97 Cessnock Road, Abermain",2,1,,809.4m²,"$542,500"
6657,"17 Kokoda Avenue, Wahroonga",5,3,2,929.5m²,"$3,505,000"
6658,"4 Oystercatcher Place, Cranebrook",4,3,3,823m²,"$2,020,000"
6659,"1/40a Wonga Road, Yowie Bay",4,3,2,"1,000m²","$1,850,000"
6660,"19 Billagal Place, Blaxland",5,3,2,911m²,"$1,480,000"
6661,"18 Day Street, Wyoming",5,2,5,854m²,"$1,340,000"
6662,"5 Adina Place, New Lambton",3,1,2,929.5m²,"$1,200,000"
6663,"16 Wembley Road, Moss Vale",5,2,2,954m²,"$1,180,000"
6664,"9 Ensign Close, Corlette",4,2,2,865m²,"$1,175,000"
6665,"13 Davis Road, Marayong",2,2,2,973.8m²,"$1,110,000"
6666,"37 Maya Drive, Medowie",6,3,2,818.7m²,"$1,090,000"
6667,"4 Barker Street, Cambridge Park",3,1,5,923m²,"$1,000,000"
6668,"6 Bagoo Avenue, Murwillumbah",3,2,2,983m²,"$940,000"
6669,"29 Cheviot Drive, Kelso",4,2,2,849m²,"$875,000"
6670,"371 Emerson Road, Rosebank",3,1,2,949m²,"$862,000"
6671,"55 Great Western Highway, Blaxland",1,1,,847m²,"$692,000"
6672,"41 Park Street, Eglinton",3,1,,930m²,"$610,000"
6673,"83 Bloomfield Street, Gunnedah",3,2,1,948m²,"$420,000"
6674,"416 Rooty Hill Road North, Oakhurst",4,4,2,942.2m²,"$1,579,000"
6675,"158 Richmond Road, Cambridge Park",3,1,2,961.1m²,"$860,000"
6676,"22 Plimsoll Street, Sans Souci",4,2,4,879m²,"$4,000,000"
6677,"34 Telegraph Road, Pymble",4,2,2,834.7m²,"$3,661,000"
6678,"140 Murray Farm Road, Beecroft",4,3,3,930m²,"$3,061,000"
6679,"14 Mabel Street, Kingsgrove",4,2,2,828m²,"$3,031,000"
6680,"1 Toby Mews, Bella Vista",4,3,3,814m²,"$2,900,000"
6681,"2 Kimberley Road, Carlingford",4,3,2,879m²,"$2,840,000"
6682,"89 Penshurst Street, Penshurst",8,5,6,803m²,"$2,820,000"
6683,"21 Audine Avenue, Epping",5,3,2,828m²,"$2,550,000"
6684,"14 Facer Court, Castle Hill",4,3,2,956m²,"$2,510,000"
6685,"20 Turon Avenue, Baulkham Hills",6,2,2,935.8m²,"$2,301,000"
6686,"11 Belmore Street, Ryde",3,1,1,822m²,"$2,300,000"
6687,"1 Wyldwood Crescent, Baulkham Hills",3,1,2,854m²,"$1,972,000"
6688,"4 Macquarie Street, Fairfield",3,1,3,863m²,"$1,681,000"
6689,"5A Carinya Road, Picnic Point",5,3,4,917m²,"$3,500,000"
6690,"96 Hull Road, West Pennant Hills",5,3,2,916m²,"$2,710,000"
6691,"27 Cairngorm Avenue, Glenhaven",5,2,2,815m²,"$2,600,000"
6692,"108 Cape Three Points Road, Avoca Beach",5,2,2,885m²,"$2,450,000"
6693,"34 Milsop Place, Mortdale",3,2,4,838m²,"$2,400,000"
6694,"1 Cypress Street, Normanhurst",4,2,2,853.6m²,"$2,300,000"
6695,"12 Heaslip Street, Coniston",5,3,3,800m²,"$1,750,000"
6696,"46 Macquarie Street, Jamberoo",4,2,2,960m²,"$1,600,000"
6697,"32A Willcath Street, Bulli",3,2,3,824m²,"$1,535,000"
6698,"29 Coast Road, North Avoca",3,2,2,816m²,"$1,400,000"
6699,"2 Perkins Close, Cumbalum",4,2,2,935.8m²,"$1,182,000"
6700,"12 Sandy Close, Port Macquarie",4,2,2,810m²,"$1,120,000"
6701,"14 Boat Harbour Close, Summerland Point",4,2,2,867m²,"$1,000,000"
6702,"83 Chisholm Road, East Maitland",4,3,3,891m²,"$993,000"
6703,"23 Cowan Place, Lloyd",4,2,1,916m²,"$805,000"
6704,"4A Edden Street, West Wallsend",3,1,2,913.7m²,"$792,000"
6705,"14 Berembee Road, Bourkelands",3,1,2,841.3m²,"$584,500"
6706,"106 Niagara Street, Armidale",4,1,1,985m²,"$440,000"
6707,"144 Little Bloomfield Street, Gunnedah",4,2,2,948m²,"$415,000"
6708,"11 Highview Avenue, Manly Vale",7,5,3,816m²,"$3,050,000"
6709,"30/31 Hayters Drive, Suffolk Park",3,3,2,922m²,"$1,802,500"
6710,"1 Wright Close, Heathcote",4,3,2,812m²,"$1,700,000"
6711,"111 Cartwright Avenue, Sadleir",6,3,4,954.7m²,"$1,600,000"
6712,"10 Dobinson Street, Mount Pleasant",4,3,2,968m²,"$1,580,000"
6713,"42 Gymea Drive, Garden Suburb",4,3,2,851m²,"$1,450,000"
6714,"565 King Georges Road, Penshurst",3,1,15,841m²,"$1,275,000"
6715,"9 Cain Drive, Kelso",5,3,4,868m²,"$1,270,000"
6716,"39 Magnetic Drive, Ashtonfield",4,2,2,810m²,"$1,200,000"
6717,"33 Beaufort Avenue, Bellbird",4,2,3,984m²,"$1,100,000"
6718,"76 College Street, Cambridge Park",2,1,2,878m²,"$1,100,000"
6719,"13 Kurrara Close, Malua Bay",4,3,3,877m²,"$1,100,000"
6720,"2 Marjoram Street, Chisholm",4,2,2,844.5m²,"$980,000"
6721,"69 Walker Street, Helensburgh",3,1,1,923m²,"$980,000"
6722,"26 Seacroft Close, Belmont North",4,2,2,988m²,"$965,000"
6723,"26 Waratah Street, Lawson",3,1,2,904m²,"$850,000"
6724,"30 Berrima Road, Moss Vale",3,1,1,826m²,"$825,000"
6725,"406 Wollombi Road, Bellbird",4,2,2,831m²,"$720,000"
6726,"29 Coleman Street, Bexhill",2,1,2,809.3m²,"$560,000"
6727,"29 Brennan Crescent, Oberon",3,1,2,906m²,"$555,000"
6728,"7 Halcyon Street, Cessnock",2,1,5,885.2m²,"$530,000"
6729,"78 Cardinal Avenue, West Pennant Hills",5,4,2,854m²,"$4,150,000"
6730,"3 Blacks Road, West Pennant Hills",5,3,3,800m²,"$3,288,000"
6731,"85 Isabella Street, North Parramatta",6,3,2,809m²,"$2,330,000"
6732,"6 Bosun Boulevard, Banora Point",4,3,4,800m²,"$2,025,000"
6733,"23 Irvine Street, Kiama",3,3,2,840m²,"$1,800,000"
6734,"7 Daniel Street, Granville",4,2,2,880m²,"$1,737,000"
6735,"3 Henley Avenue, Kiama",3,1,1,988m²,"$1,575,000"
6736,"11 Hyam Place, Jamberoo",4,2,3,802m²,"$1,350,000"
6737,"7 Chapman Crescent, Avoca Beach",5,2,1,887m²,"$1,250,000"
6738,"19 Southey Street, Mittagong",4,2,1,860m²,"$1,160,000"
6739,"104 Malibu Drive, Bawley Point",4,1,2,850m²,"$1,100,000"
6740,"54 Saltram Circuit, Eglinton",4,2,4,921m²,"$1,065,000"
6741,"15 Forster Avenue, Watanobbi",4,2,2,817m²,"$1,010,000"
6742,"26 Wilton Drive, East Maitland",4,2,2,849m²,"$970,000"
6743,"28 Kansas Drive, Tolland",5,3,2,900m²,"$885,000"
6744,"14 Drummond Avenue, Largs",4,2,3,873m²,"$860,000"
6745,"487 Kurmond Road, Freemans Reach",3,1,2,"1,000m²","$835,000"
6746,"109 Taralga Rd, Goulburn",3,1,4,968m²,"$700,000"
6747,"43 Saiala Road, East Killara",4,3,2,847m²,"$3,400,000"
6748,"42 Carnarvon Drive, Frenchs Forest",4,3,2,901m²,"$2,900,000"
6749,"9 Gray Spence Crescent, West Pennant Hills",6,3,5,953m²,"$2,890,000"
6750,"18 Woodlands Street, Baulkham Hills",4,3,2,898m²,"$2,850,000"
6751,"22 Tallwood Avenue, Glenmore Park",6,4,2,934m²,"$2,400,000"
6752,"5 Calder Close, Vincentia",4,2,2,821.9m²,"$1,825,000"
6753,"180 Mirador Drive, Mirador",4,2,2,976m²,"$1,375,000"
6754,"50 Daffodil Drive, Woy Woy",3,1,4,955m²,"$1,350,000"
6755,"24 Amos Street, Bonnells Bay",6,4,2,809m²,"$1,130,000"
6756,"259 Harbour Drive, Coffs Harbour",5,3,3,809m²,"$1,105,000"
6757,"47 Ocean Avenue, Surf Beach",6,3,2,835m²,"$1,075,000"
6758,"34 Moola Road, Buff Point",4,2,3,864m²,"$890,000"
6759,"109 Panorama Drive, Bonny Hills",3,1,2,819m²,"$870,000"
6760,"1 Patsys Flat Road, Smiths Lake",3,1,2,879m²,"$840,000"
6761,"1 Jackson Crescent, Denistone East",3,1,4,961m²,"$3,320,000"
6762,"24 Prestige Avenue, Bella Vista",5,3,3,814m²,"$2,950,000"
6763,"7 Hendle Close, Baulkham Hills",5,3,5,873m²,"$2,455,000"
6764,"36 Dural Street, Hornsby",5,3,4,885m²,"$2,020,000"
6765,"55 Excelsior Road, Mount Colah",6,2,4,865.9m²,"$1,950,000"
6766,"6 Toonibal Avenue, Eleebana",4,2,3,822m²,"$1,755,700"
6767,"23 Berrimbillah Court, Ocean Shores",4,3,2,905m²,"$1,750,000"
6768,"7 Harah Court, Ocean Shores",4,2,2,835m²,"$1,630,000"
6769,"37 & 37a Palau Crescent, Lethbridge Park",5,2,1,853.4m²,"$925,000"
6770,"6 Charles Avenue, Casino",4,2,2,"1,000m²","$900,000"
6771,"14 Alma Place, Thirlmere",3,1,2,989m²,"$840,000"
6772,"54 & 54a Grey Gum Road, Taree",6,3,2,865m²,"$830,000"
6773,"24 Railway Parade, Hazelbrook",3,1,1,919m²,"$795,000"
6774,"22 Lachlan Way, Dubbo",4,2,2,820m²,"$689,000"
6775,"7 Christopher Close, Wyoming",5,1,1,837m²,"$650,000"
6776,"4552 The Bucketts Way, Gloucester",4,2,2,904m²,"$640,000"
6777,"49 Huthwaite Street, Mount Austin",5,2,2,860m²,"$620,000"
6778,"33 Moorhead Drive, South Grafton",4,2,1,993m²,"$518,000"
6779,"19 Stanley Street, Putney",5,3,2,822m²,"$4,450,000"
6780,"10 Sandbar Place, Port Hacking",4,2,2,882m²,"$3,305,000"
6781,"44 Kathleen Avenue, Castle Hill",4,3,2,940m²,"$3,055,000"
6782,"37 Vine Street, Hurstville",5,3,2,904m²,"$3,010,000"
6783,"42 Sylvan Avenue, East Lindfield",5,3,1,835m²,"$2,701,000"
6784,"17 Louise Avenue, Ingleburn",3,1,2,847.3m²,"$1,815,000"
6785,"40 Dinjerra Close, Bangor",5,2,4,833m²,"$1,800,000"
6786,"139 Gumtree Way, Smithfield",5,2,2,937m²,"$1,601,500"
6787,"24 Galton Street, Wetherill Park",3,1,2,910m²,"$1,575,000"
6788,"44 Graham Street, Doonside",3,2,2,916.9m²,"$1,375,000"
6789,"40 Appaloosa Circuit, Blairmount",3,2,2,853m²,"$950,000"
6790,"7 Willman Place, South Bathurst",4,2,6,834m²,"$750,000"
6791,"103 Avoca Drive, Avoca Beach",5,4,2,878m²,"$15,500,000"
6792,"53 Murray Farm Road, Carlingford",6,4,2,929.5m²,"$2,739,999"
6793,"6 Betts Place, West Pennant Hills",4,2,2,900m²,"$2,420,000"
6794,"298 The Esplanade, Speers Point",4,2,3,834.67m²,"$2,081,888"
6795,"21 Delaigh Avenue, Baulkham Hills",4,2,2,929m²,"$1,910,000"
6796,"6 Heights Place, Hornsby Heights",4,2,2,969m²,"$1,650,000"
6797,"4 Angophora Close, Wamberal",6,3,4,809.5m²,"$1,550,000"
6798,"17 Vantage Court, Bolwarra",4,3,6,897m²,"$1,300,000"
6799,"28 Evergreen View, Bilambil Heights",3,2,2,810m²,"$1,204,500"
6800,"18 Wake Drive, Lloyd",4,2,3,921m²,"$1,160,000"
6801,"7 John Verge Avenue, Rutherford",5,3,4,944m²,"$1,150,000"
6802,"56 & 56a Alton Road, Cooranbong",6,3,2,826m²,"$1,050,000"
6803,"73 Sturt Street, Mulwala",4,2,4,855m²,"$1,030,000"
6804,"40 Banksia Avenue, Kalkite",4,3,4,801m²,"$1,010,000"
6805,"22 Thornflat Road, Cranebrook",3,1,4,802m²,"$1,001,500"
6806,"8 Wilson Street, Wentworth Falls",3,1,,890m²,"$885,000"
6807,"18 Lawson Street, East Maitland",4,2,2,942m²,"$860,000"
6808,"7 Menah Avenue, Mudgee",4,2,2,801m²,"$840,000"
6809,"7 Laurel Avenue, Edgeworth",3,2,1,946m²,"$785,000"
6810,"60 Johnson Parade, Lemon Tree Passage",2,2,1,941m²,"$700,000"
6811,"10 Yilgarn Avenue, Cessnock",3,2,2,809.4m²,"$660,000"
6812,"11 Bloodwood Road, Muswellbrook",4,2,2,806m²,"$632,500"
6813,"23 Regent Street, Moama",4,2,2,806m²,"$630,000"
6814,"18 Berowra Street, Cowra",4,2,2,809.4m²,"$590,000"
6815,"23 Haley Avenue, Narrabri",3,1,1,900m²,"$490,000"
6816,"8 Bannockburn Road, Pymble",5,3,2,929.5m²,"$4,150,000"
6817,"19 Lee Street, Cobbitty",5,4,3,894m²,"$2,900,000"
6818,"18 Maas Street, Cromer",4,3,2,822m²,"$2,800,000"
6819,"29 Cowrang Avenue, Terrey Hills",4,3,2,885m²,"$2,450,000"
6820,"32 Allenby Park Parade, Allambie Heights",4,2,2,936m²,"$2,400,000"
6821,"47 James Mileham Drive, Kellyville",5,3,2,803m²,"$2,200,000"
6822,"10 Palace Road, Baulkham Hills",3,2,1,929.5m²,"$2,180,000"
6823,"3 Ridgeview Close, Terrigal",5,3,2,886m²,"$1,700,000"
6824,"23 Boardman Road, Bowral",5,2,2,804m²,"$1,596,500"
6825,"102 Francis Street, Richmond",3,1,1,917m²,"$1,320,000"
6826,"100 Francis Street, Richmond",3,1,1,917m²,"$1,275,000"
6827,"28 Balmoral Crescent, Lake Albert",4,3,2,930m²,"$1,150,000"
6828,"4 White Bluff Road, Sapphire Beach",4,2,2,825m²,"$1,140,000"
6829,"2 Grasmere Way, Lakelands",4,2,2,865.6m²,"$1,130,000"
6830,"29 Gala Crescent, Orange",4,2,2,853m²,"$1,125,000"
6831,"19 Dobell Street, Mount Pritchard",3,1,3,803m²,"$1,060,000"
6832,"8 Jacky Close, Belmont",4,3,2,888m²,"$1,055,000"
6833,"21 Cranford Lane, Figtree",4,2,2,846m²,"$940,000"
6834,"19 Wren Way, North Rothbury",4,2,2,893.4m²,"$905,000"
6835,"384 Macquarie Street, Dubbo",4,2,2,800m²,"$800,000"
6836,"79 Michelle Avenue, Lavington",4,2,2,850m²,"$760,000"
6837,"31 Johnson Street, Maitland",3,1,2,830m²,"$645,000"
6838,"35 Bushland Drive, Taree",3,2,4,818m²,"$640,000"
6839,"13 Melaleuca Place, Taree",3,2,2,899.1m²,"$640,000"
6840,"10 Beaconsfield Road, Moss Vale",2,1,6,963m²,"$625,000"
6841,"32 Deb Street, Taree",3,1,4,885m²,"$585,000"
6842,"2/8 Graeme Avenue, Goonellabah",2,1,1,87m²,"$472,000"
6843,"99 Guy Street, Corowa",4,2,2,999m²,"$438,500"
6844,"22 King Street, Gunnedah",4,1,1,816m²,"$413,164"
6845,"18 Wallis Avenue, Strathfield",2,1,3,910.5m²,"$5,160,000"
6846,"149 Dandaraga Road, Mirrabooka",5,3,2,827m²,"$2,100,000"
6847,"56 Doncaster Avenue, Claremont Meadows",6,5,2,950m²,"$2,000,000"
6848,"27 Dovey Drive, Kelso",4,2,6,852m²,"$1,250,000"
6849,"96D Valley Road, Hazelbrook",3,1,1,810m²,"$841,500"
6850,"20 Rosedale Drive, Urunga",3,2,3,900.9m²,"$749,000"
6851,"99 Howick Street, Bathurst",2,1,1,859m²,"$507,500"
6852,"15 Tanglewood Place, West Pennant Hills",4,2,2,844.2m²,"$2,500,000"
6853,"26 Doherty Avenue, Glenhaven",4,2,2,934m²,"$2,407,000"
6854,"64 Raglan Road, Miranda",3,1,2,828.3m²,"$2,300,000"
